trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.99998, 'e': 0.9900498337491681}",20,0,-69.72997971640997,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
2,False,"{'a': 0.9999600004, 'e': 0.9801986733067553}",20,0,-109.19017981585569,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.9999400011999919, 'e': 0.9704455335485082}",20,0,-113.67388355889811,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.9999200023999679, 'e': 0.9607894391523232}",20,0,-46.23293159533902,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
5,False,"{'a': 0.9999000039999199, 'e': 0.951229424500714}",30,0,-222.80073981701992,"{0: 18, 1: 1, 2: 6, 3: 1, 4: 4}",0
6,False,"{'a': 0.9998800059998398, 'e': 0.9417645335842487}",20,2,-30.00259712639177,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 0}",1
7,False,"{'a': 0.9998600083997199, 'e': 0.9323938199059483}",30,0,-188.8562789122713,"{0: 14, 1: 4, 2: 9, 3: 1, 4: 2}",0
8,False,"{'a': 0.9998400111995519, 'e': 0.9231163463866358}",20,0,-71.41104496096696,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
9,False,"{'a': 0.9998200143993279, 'e': 0.9139311852712282}",25,0,-42.96608719278465,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
10,False,"{'a': 0.9998000179990398, 'e': 0.9048374180359595}",25,11,-37.86333051090221,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
11,False,"{'a': 0.9997800219986799, 'e': 0.8958341352965282}",25,0,-127.03696457606891,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
12,False,"{'a': 0.9997600263982398, 'e': 0.8869204367171575}",25,0,-49.113392313392424,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.9997400311977118, 'e': 0.8780954309205613}",20,14,11.311406959103804,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.9997200363970878, 'e': 0.8693582353988059}",25,0,-159.84191261603584,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
15,False,"{'a': 0.9997000419963599, 'e': 0.8607079764250578}",20,0,-56.79822395112771,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
16,False,"{'a': 0.99968004799552, 'e': 0.8521437889662113}",20,2,-61.97137054053097,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 0}",1
17,False,"{'a': 0.9996600543945601, 'e': 0.8436648165963837}",30,0,-104.83924240993426,"{0: 20, 1: 5, 2: 2, 3: 2, 4: 1}",0
18,False,"{'a': 0.9996400611934722, 'e': 0.835270211411272}",25,0,-80.61344303642403,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.9996200683922483, 'e': 0.8269591339433623}",20,0,-190.7127900422866,"{0: 9, 1: 4, 2: 2, 3: 2, 4: 3}",0
20,False,"{'a': 0.9996000759908804, 'e': 0.8187307530779818}",25,0,-41.27361102390799,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
21,False,"{'a': 0.9995800839893605, 'e': 0.8105842459701871}",25,0,-209.36270964696706,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 4}",0
22,False,"{'a': 0.9995600923876807, 'e': 0.8025187979624785}",20,10,1.724435824423721,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.9995401011858329, 'e': 0.794533602503334}",25,0,-56.48953557173367,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
24,False,"{'a': 0.9995201103838092, 'e': 0.7866278610665535}",20,0,-43.15979695781591,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
25,False,"{'a': 0.9995001199816015, 'e': 0.7788007830714049}",20,11,-35.59827203467111,"{0: 6, 1: 1, 2: 0, 3: 2, 4: 0}",1
26,False,"{'a': 0.9994801299792019, 'e': 0.7710515858035663}",20,7,-14.054997814172404,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 0}",1
27,False,"{'a': 0.9994601403766022, 'e': 0.7633794943368531}",20,0,-81.53093412371811,"{0: 13, 1: 0, 2: 4, 3: 3, 4: 0}",0
28,False,"{'a': 0.9994401511737947, 'e': 0.7557837414557255}",25,3,-78.34853035892704,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 1}",1
29,False,"{'a': 0.9994201623707712, 'e': 0.7482635675785653}",30,0,-130.57629264047134,"{0: 16, 1: 6, 2: 6, 3: 1, 4: 1}",0
30,False,"{'a': 0.9994001739675238, 'e': 0.7408182206817179}",20,0,-23.793247758849745,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
31,False,"{'a': 0.9993801859640444, 'e': 0.7334469562242892}",20,13,-3.5917135608529085,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.9993601983603251, 'e': 0.7261490370736909}",25,0,-20.973349131612743,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
33,False,"{'a': 0.9993402111563578, 'e': 0.7189237334319262}",30,0,-124.94127328347922,"{0: 19, 1: 6, 2: 3, 3: 0, 4: 2}",0
34,False,"{'a': 0.9993202243521347, 'e': 0.7117703227626097}",20,0,-54.56964893444569,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
35,False,"{'a': 0.9993002379476477, 'e': 0.7046880897187134}",30,9,-16.202275583283086,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 0}",1
36,False,"{'a': 0.9992802519428887, 'e': 0.697676326071031}",30,0,-107.5871306199391,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
37,False,"{'a': 0.9992602663378498, 'e': 0.6907343306373547}",25,0,-60.61724274251412,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
38,False,"{'a': 0.9992402811325231, 'e': 0.6838614092123558}",30,18,-41.337563252890206,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
39,False,"{'a': 0.9992202963269003, 'e': 0.6770568744981647}",20,0,-69.75291482105773,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
40,False,"{'a': 0.9992003119209738, 'e': 0.6703200460356393}",20,0,-80.82014883768572,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
41,False,"{'a': 0.9991803279147354, 'e': 0.6636502501363194}",30,0,-192.78429780028046,"{0: 19, 1: 3, 2: 4, 3: 0, 4: 4}",0
