trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.29752061246361,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.01497214789227,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-178.2944862362918,"{0: 16, 1: 6, 2: 5, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,1,-123.17531310693602,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 2}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-222.07647098694073,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.66827841033481,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-14.20826163239819,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-173.48287985701108,"{0: 8, 1: 1, 2: 8, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-225.7669231804821,"{0: 8, 1: 4, 2: 3, 3: 1, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.14666933968203,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.3119256117691,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-136.94299053426798,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.49003128276492,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,10,-85.69443087061438,"{0: 4, 1: 2, 2: 2, 3: 1, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-161.72475683156844,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.3080648915649,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-181.5505179026748,"{0: 10, 1: 0, 2: 5, 3: 3, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-161.24632959020948,"{0: 14, 1: 0, 2: 6, 3: 4, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.70822754153141,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.31815398707745,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-129.66459963365187,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-174.1909986736312,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-120.6793215477905,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-174.0612010445398,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-284.35631677736086,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 5}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-120.70245495349965,"{0: 15, 1: 4, 2: 10, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-134.67634982995622,"{0: 19, 1: 1, 2: 7, 3: 2, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-143.29634900032767,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-46.68877362158784,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-146.4937268763219,"{0: 12, 1: 5, 2: 5, 3: 2, 4: 1}",0
