trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.99998, 'e': 0.9900498337491681}",25,0,-63.19274400839193,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.9999600004, 'e': 0.9801986733067553}",20,0,-115.43403872324086,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.9999400011999919, 'e': 0.9704455335485082}",20,0,-104.37158492300344,"{0: 10, 1: 1, 2: 7, 3: 2, 4: 0}",0
4,False,"{'a': 0.9999200023999679, 'e': 0.9607894391523232}",30,0,-225.05891707928325,"{0: 14, 1: 4, 2: 7, 3: 2, 4: 3}",0
5,False,"{'a': 0.9999000039999199, 'e': 0.951229424500714}",25,0,-201.36993174959952,"{0: 12, 1: 3, 2: 6, 3: 1, 4: 3}",0
6,False,"{'a': 0.9998800059998398, 'e': 0.9417645335842487}",30,0,-210.25930692595068,"{0: 15, 1: 8, 2: 1, 3: 3, 4: 3}",0
7,False,"{'a': 0.9998600083997199, 'e': 0.9323938199059483}",30,0,-124.48178080406589,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.9998400111995519, 'e': 0.9231163463866358}",25,0,-117.1421406989988,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 2}",0
9,False,"{'a': 0.9998200143993279, 'e': 0.9139311852712282}",25,0,-143.64774672963327,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.9998000179990398, 'e': 0.9048374180359595}",30,0,-87.2380339385393,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.9997800219986799, 'e': 0.8958341352965282}",20,0,-167.85982828111867,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 4}",0
12,False,"{'a': 0.9997600263982398, 'e': 0.8869204367171575}",25,0,-106.11965972465188,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
13,False,"{'a': 0.9997400311977118, 'e': 0.8780954309205613}",25,0,-100.81623851628119,"{0: 14, 1: 1, 2: 9, 3: 1, 4: 0}",0
14,False,"{'a': 0.9997200363970878, 'e': 0.8693582353988059}",30,2,-37.88517533839396,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 1}",1
15,False,"{'a': 0.9997000419963599, 'e': 0.8607079764250578}",20,10,-47.24300658288234,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
16,False,"{'a': 0.99968004799552, 'e': 0.8521437889662113}",20,2,-202.0346991074761,"{0: 8, 1: 2, 2: 4, 3: 0, 4: 4}",1
17,False,"{'a': 0.9996600543945601, 'e': 0.8436648165963837}",20,0,-131.17089556704116,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
18,False,"{'a': 0.9996400611934722, 'e': 0.835270211411272}",30,0,-160.86918071754027,"{0: 16, 1: 7, 2: 4, 3: 1, 4: 2}",0
19,False,"{'a': 0.9996200683922483, 'e': 0.8269591339433623}",20,2,-34.79671933371041,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
20,False,"{'a': 0.9996000759908804, 'e': 0.8187307530779818}",20,1,-74.86346560583908,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 0}",1
21,False,"{'a': 0.9995800839893605, 'e': 0.8105842459701871}",20,0,-45.29687197396363,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
22,False,"{'a': 0.9995600923876807, 'e': 0.8025187979624785}",25,0,-181.95862557190648,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
23,False,"{'a': 0.9995401011858329, 'e': 0.794533602503334}",20,0,-103.98843640419999,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
24,False,"{'a': 0.9995201103838092, 'e': 0.7866278610665535}",25,0,-98.87531406655708,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
